Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
letter,10,0,0.1441,0.0106,0.1441,0.0106,,,,,16.2548,0.9986
letter,10,50,0.1561,0.0097,0.1561,0.0097,,,,,17.7855,0.4647
letter,10,100,0.1637,0.0089,0.1637,0.0089,,,,,17.9516,0.4636
letter,30,0,0.1368,0.0061,0.1368,0.0061,,,,,12.2293,1.0114
letter,30,50,0.223,0.0069,0.223,0.0069,,,,,14.8425,1.3108
letter,30,100,0.2518,0.0078,0.2518,0.0078,,,,,55.4878,123.1612
letter,50,0,0.1414,0.0039,0.1414,0.0039,,,,,11.6856,0.3132
