Dataset,Missing%,Additional CTGAN data%,Batch-size,Hint-rate,Alpha,AUROC,MSE,Execution time (s)
news,10,0,256,0.9,1,-,230306915.81140283,4669.615540981293
news,30,0,128,0.9,1,-,232470851.2627206,8734.772420883179
news,50,0,256,0.5,1,-,231929527.9219277,8072.309530735016
