Dataset,Missing%,Additional CTGAN data%,Batch-size,Hint-rate,Alpha,Beta,Tau,AUROC,MSE,Execution time (s)
news,10,0,256,0.9,1.0,0.01,0.5,-,230991737.1886727,7744.429515838623
news,30,0,128,0.9,1.0,10.0,0.5,-,231315070.18638036,5421.8275418281555
news,50,0,256,0.5,1.0,1.0,0.5,-,231850065.3186852,7772.135670900345
