Dataset,Missing%,Additional CTGAN data%,Batch-size,Hint-rate,Alpha,Beta,Tau,AUROC,MSE,Execution time (s)
bank,10,0,64,0.1,1.0,0.5,1,0.5918176387459673,-,6215.124563217163
bank,30,0,128,0.1,10.0,0.1,0.5,0.5780150374933994,-,7486.963431119919
bank,50,0,128,0.1,2.0,0.1,5,0.5659990076124903,-,7512.050004005432
