Dataset,Missing%,Additional CTGAN data%,Batch-size,Hint-rate,Alpha,AUROC,MSE,Execution time (s)
bank,10,0,64,0.1,1,0.5863469422556532,-,10262.065294027328
bank,30,0,128,0.1,10,0.574859480418753,-,10198.557935714722
bank,50,0,128,0.1,2,0.5687674412576703,-,8337.945612192154
